doi,abstract,abstract_length,has_abstract,source
10.1002/aic.18642,"Abstract A combined simulated moving bed (SMB) and distillation separation scheme is developed to recover 2,3‐butanediol (BDO) from a dilute fermentation broth. The scheme was integrated into a lignocellulosic biorefinery that produces hydrocarbon fuels from corn stover with BDO as an intermediate. BDO recovery is one of the most challenging processes in this biorefinery; and given the high associated energy duties, direct distillation is considered cost‐prohibitive. An alternative separation is SMB adsorption in nanoporous materials, which can reject 90% of the water and reduce subsequent distillation costs. Rigorous models were used to optimize the SMB and distillation simultaneously. The separation can be added to the biorefinery while keeping the projected minimum fuel selling price (MFSP) below $0.66 USD (US dollars) per liter gasoline‐equivalent ($2.50/GGE, gallon gasoline equivalent). Finally, sensitivity analyses were conducted to assess the effects of cost and lifetime of the adsorbent, titer concentration, and BDO purity.",1047,TRUE,jsonl
10.1002/aisy.202401073,"Face recognition in the infrared band plays a vital role in diverse biometric technologies ranging from authentication security to daily healthcare. Current infrared recognition systems are built on the von Neumann architecture and complementary metal‐oxide‐semiconductor image sensors, which encounter limited spectral adaptability with serious data transmission delay and high power consumption. Here, a compact in‐sensor reservoir computing (RC) system is demonstrated using van der Waals α ‐In 2 Se 3 optoelectronic device to implement the face recognition task in near‐infrared band. Due to the light‐induced temporal ferroelectric polarization field in α ‐In 2 Se 3 , the nonlinear photoresponse and short‐term memory characteristics are achieved in the device with low optical energy consumption of ≈15 pJ. Additionally, the device exhibits diverse synaptic plasticity with excellent separation of the optical information based on the dual‐feature strategy. An in‐sensor RC system is constructed through employing the α ‐In 2 Se 3 optoelectronic synapse as the physical node, which achieves 99.5% recognition accuracy with fast training speed. The robustness of the system is further verified by the preservation of accuracy at 87.1% under high noise level of 20%. This work envisions ferroelectric optoelectronic synapse as potential building blocks for in‐sensor RC system, paving the way for achieving high‐accuracy recognition system in extended spectral range.",1472,TRUE,jsonl
10.1002/ajmg.b.32963,"In 1936, Bruno Schulz published the first detailed, book-length review of the methodology of psychiatric genetic research, based on his experiences at the German Research Institute of Psychiatry. Emphasis is placed on proper selection of relatives and the ascertainment corrections required for Mendelian transmission models. Twin studies are considered as is the impact of reduced fertility on patterns of risk. For the field work, Schulz emphasizes the importance of trust-building, confidentiality, collateral informants, and the use of medical and other administrative records, all ideally stored in personal files. Several methods of age-correction are reviewed. Schulz provides detailed algebraic treatments of these and other problems, including tests for etiologic homogeneity, with worked examples. He emphasizes two fundamental concerns in psychiatric genetics research: (i) its inter-dependency with the optimal diagnostic boundaries, which are rarely known and (ii) the genetic homogeneity of clinical samples. Given these problems, he is pessimistic about finding Mendelian transmission patterns. He assesses the predominant 19th-century method of psychiatric genetic investigation-""hereditary burden""-to be crude and biased by family size. Although written at a time of consolidation of Nazi power in Germany, this book nowhere endorses their racial/eugenic policies and can be seen as subtly questioning them.",1424,TRUE,jsonl
10.1002/ajpa.70029,"Food avoidances during pregnancy among Malagasy agriculturalists and fishers differ in targets and reasons. Avoided foods reflect staple diets, while the fear of difficult labor due to large infant size in relation to carbohydrate-rich foods among agriculturalists overlaps with a high incidence of obstructed labor in agricultural regions. Therefore, different subsistence modes affect antenatal behavior priorities differently. Taboos and sources of advice on maternal diet are fluid systems. We highlight the urgent need to better understand the determinants of obstructed labor and the patterns of spread of antenatal practices in Madagascar.",646,TRUE,jsonl
10.1002/ange.202514136,"Abstract Chemical recycling of plastics holds great promise but remains constrained by sustainability issues, with polyethylene terephthalate (PET) epitomizing this challenge. Herein, we introduce a conceptually novel strategy that overcomes PET's intrinsic hydrophobicity by physically re‐engineering the polymer's microstructure to enable ultrafast alkaline hydrolysis under exceptionally mild conditions. We leverage the ability of propylene carbonate (PC)—an inexpensive, commercial, green solvent—to selectively dissolve PET, to thermally induce phase separation, and subsequently act as a carrier for water insertion between polymer chains. Upon complete PC replacement, the water uptake exceeds twice the polymer mass, preventing chain re‐compaction and establishing an interfacial environment that facilitates hydroxyl ion diffusion to ester bonds and depolymerization with minimal alkali consumption. As a result, water‐swollen PET fully depolymerizes (96% TPA yield) at atmospheric pressure within 5 min at 90 or under 2 h at room temperature, vastly outperforming conventional hydrolysis methods. The process achieves a 20‐fold reduction in energy footprint versus direct PET hydrolysis. It performs robustly on challenging, real‐world feedstocks—including textiles and mixed plastic waste—enabling selective depolymerization unaffected by PET crystallinity. A techno‐economic analysis (TEA) confirms energy efficiency and strong economic feasibility, demonstrating overall competitiveness with existing engineered technologies. Beyond PET, the physical mechanism underpinning the strategy offers a scalable and sustainable platform for recycling a wide range of condensation polymers.",1696,TRUE,jsonl
10.1002/apxr.202500190,"ABSTRACT Metal–organic frameworks (MOFs) present a unique class of crystalline materials with programmable architectures that enable precise control over dielectric behavior. Their well‐defined metal nodes, organic linkers, and porous structures facilitate polarization mechanisms, critical for high‐performance dielectrics. The beauties of the architectural design strategies from homogeneous MOFs, phase‐engineered heterogeneous MOFs, MOFs incorporated into polymer matrices as fillers for low dielectric loss, stimuli‐responsive MOFs, and conductive MOFs are systematically analyzed to reveal the fundamental interplay between framework structure, charge dynamics, and dielectric functionality. Importantly, their intrinsic structural regularity and defect control support high breakdown strength through deep trap states and uniform electric field distribution. Last but not least, the prospects of MOFs such as device‐level integration, hybridization with 2D materials, and machine learning to connect structure‐polarizability relationships and address their key state‐of‐the‐art challenges are discussed.",1110,TRUE,jsonl
10.1002/bco2.70056,"This retrospective study highlights the significant heterogeneity in terms of histology, stage at diagnosis and treatment of PUC. This study is one of the few to describe treatments and survival in metastatic PUC patients. Efforts must be made to improve survival in these patients.",282,TRUE,jsonl
10.1002/brb3.3614,"Practically, these pre-clinical findings highlight the importance of the combination of exercise and LEV regimen in treating patients with hyperthyroidism.",155,TRUE,jsonl
10.1002/brb3.70173,These results reveal the importance of cohesive effects of feeding schedule and AMPH treatment by revealing the changes in stimulatory characteristics of AMPH on locomotion and motor neuron activity in acute and chronic feeding states.,235,TRUE,jsonl
10.1002/brb3.70712,"This national study demonstrates the widespread use of SGAs in Türkiye, particularly quetiapine, while also highlighting the continued use of FGAs, especially haloperidol, in older adults. These findings highlight the need for further research on age-specific prescribing practices and the development of tailored treatment guidelines. Furthermore, international comparisons of prescribing patterns should be conducted to identify potential variations and explore their underlying causes.",488,TRUE,jsonl
10.1002/cam4.6881,Brain white matter microstructural alterations may be the underlying neural correlates of cognitive changes in older breast cancer survivors who had chemotherapy treatment years ago.,182,TRUE,jsonl
10.1002/cam4.70622,"Applying scRNA-seq to immune cell analysis in the TME offers a novel pathway for personalized cancer treatment. Despite its promise, several challenges remain, highlighting the need for further advancements to fully integrate scRNA-seq into clinical applications.",263,TRUE,jsonl
10.1002/cam4.70858,"TC survivors have a substantial risk of MetS with a higher occurrence of most MetS components, barring hypertension. Comprehensive metabolic health monitoring is crucial in TC survivorship care. Integrating vigilant screening and preventive strategies can mitigate MetS development in this population.",301,TRUE,jsonl
10.1002/cam4.7225,"According to the results of both ROC analysis and ML models, preoperative hematologic parameters are considerable prognostic factors of postoperative outcomes in rectal cancer patients, and are recommended to be monitored by clinicians to prevent unfavorable outcomes.",268,TRUE,jsonl
10.1002/ccr3.71284,"Chylous ascites is a rare form of ascites that arises from the disruption of lymphatic flow. It develops in patients with liver cirrhosis secondary to portal hypertension. Treatment options include dietary modifications, pharmacological agents, and procedural interventions. Transjugular intrahepatic portosystemic shunt (TIPS) placement has been proposed as a treatment option for chylous ascites in decompensated liver cirrhosis. Our case report discusses a patient with decompensated liver cirrhosis and diuretic-refractory ascites who ultimately developed chylous ascites that was treated by TIPS placement.",611,TRUE,jsonl
10.1002/chem.202402071,"Referring to selected examples of reproducible green syntheses using hybrid sol-gel catalysts of the SiliaCat series from different doctoral theses and research works published between 2015 and early 2024, this study briefly illustrates how said catalysts have been applied in a number of green synthetic methods of significant industrial relevance. This shows evidence that the nanochemistry ""bottom-up"" sol-gel approach based on catalytic species entrapped in organically modified silicas as effective and versatile heterogeneous catalysts developed between the late 1990s and 2010 has succeeded. Subsequent developments will show how the use of said materials in automated syntheses, supplying data to machine learning algorithms actually leads to faster and cheaper optimization of the reaction conditions. Said progress ultimately will further accelerate industrial uptake of heterogeneous catalysis under flow in the fine chemical industry whose reluctance to change processes was due to the need to replace financially amortized (and expensive) production plants.",1070,TRUE,jsonl
10.1002/cplu.202500122,"Biphasic molecular catalysis is a promising strategy for combining catalyst recycling with the synthesis of advanced chemical products. The anchoring of catalysts to surfactants in water allows for both catalyst solubility in aqueous media and a simple separation from the organic product. In biphasic epoxidations, this approach allows the use of environmentally benign hydrogen peroxide as oxidant. However, challenges remain due to mass transport limitations between the aqueous and organic phase, incompatibilities in the multicomponent system, and side reactions in the acidic medium. Hence, the development of surface-active catalysts that enable controlled phase separation from all other components is highlighted in this concept article.",746,TRUE,jsonl
10.1002/csr.70191,"ABSTRACT This study examines the intersection of green finance and economic, social, and governance (ESG) readiness through the lens of sustainable transition theory, analyzing data across 32 higher and 25 lower ESG‐ranked countries from 2014 to 2022. Employing econometric methods like OLS, FMOLS, GMM, and quantile regression, we find that green finance plays a critical role in enhancing ESG readiness. Access to credit is a fundamental enabler of economic activity, but its impact on ESG transitions remains contingent upon institutional capacity and regulatory alignment. Our findings indicate that renewable‐energy investments consistently act as catalysts for sustainability transitions. Green bonds emerge as niche innovations, but their effectiveness depends on the maturity of the financial market. A cross‐sectional analysis highlights the presence of path dependencies in ESG development, particularly in higher ESG‐ranked countries. These insights are vital for policymakers aiming to foster sustainability transitions through tailored market interventions and support for emerging green finance initiatives.",1121,TRUE,jsonl
10.1002/ctm2.1641,"Recently, a new water-soluble sacrificial-layer oxide: Sr4Al2O7, has been identified.1, 2 Sr4Al2O7 has better structural and thermodynamic stability, and it also possesses a pseudo-cubic lattice constant closer to perovskite ABO3 systems. Additionally, in comparison to Sr3Al2O6,3 Sr4Al2O7 exhibits a faster water-soluble rate and excellent structural elasticity. Its excellent structural elasticity facilitates the transfer of substrate lattice to target oxide membranes. Theoretical simulations have further revealed that a lower crystal symmetry of Sr4Al2O7 and higher bonding energy at the interface between Sr4Al2O7 and ABO3 heterojunctions, compared to Sr3Al2O6, thereby minimizing the increase in internal energy under strain and promoting the formation of complete atomic-level interfaces and enabling the synthesis of high-quality free-standing oxide membranes. Utilizing Sr4Al2O7 as a sacrificial layer for the synthesis of free-standing oxide membranes has shown promising results across various oxide materials (Figure 1A). These membranes, including nickelate catalyst LaNiO3, ferromagnetic (La,Ca)MnO3, dielectric substrate SrTiO3, electrode material SrRuO3, and photocatalyst SrSnO3, exhibit exceptional crystal quality and integrity, along with larger sample sizes to the millimetre level. Moreover, they exhibit physical and chemical properties comparable to corresponding epitaxial thin films. These advancements suggest that the successful synthesis of Sr4Al2O7 will not only significantly enhance the rate and quality of the synthesis of oxide membranes but also offer potential benefits in the fabrication of (1) oxide nanoparticles, as well as (2) rare-earth elements doped Sr4Al2O7, both of these systems are anticipated to play significant roles in medicine applications (Figure 1B, C). In recent years, the field of medicine research has shown a surge in interest in the application of oxide nanoparticles and membranes across a wide range of healthcare applications (Figure 1B). From antimicrobial coatings to drug delivery systems (Figure 1B), the unique properties of nano-size oxides offer the potential to revolutionize various aspects of healthcare: (1) Magnetic oxide nanoparticles (such as Fe3O4) play a crucial role in targeted imaging and contrast enhancement in medical imaging techniques such as magnetic resonance imaging and computed tomography scans4 (Figure 1C). Additionally, the development of oxide-based biosensors (such as MgO) enables the detection of biomarkers and pathogens, facilitating early disease diagnosis and monitoring. (2) Nanoparticles such as titanium dioxide (TiO2) offer tailored properties suitable for drug delivery applications, due to their high surface area, tunable pore sizes, biocompatibility and controlled release capabilities.5 Additionally, TiO2 is utilized in photodynamic therapy for cancer treatment, leveraging its photophysical properties for localized tumour ablation. (3) Antimicrobial oxides, including zinc oxide and cuprates nanoparticles, possess broad-spectrum antimicrobial activity against bacteria, viruses, and fungi, making them viable candidates for developing antimicrobial coatings for medical devices and surfaces.6 The discovery and synthesis of Sr4Al2O7 as a sacrificial layer promise to revolutionize the production of free-standing low-dimensional systems comprising various perovskite oxides, such as their nanoparticles and membranes, enhancing both the rate and quality of their synthesis. This breakthrough, coupled with the diverse physical and chemical properties of perovskite oxides, will expand the select range of materials available for the aforementioned applications. For instance, room-temperature ferromagnetic nanoparticles of (La,Ca)MnO3 could potentially replace Fe2O3, while nanoparticles of insulating SrTiO3 might offer an alternative to TiO2. These functional oxide nanoparticles hold significant implications for medical applications, providing a broader spectrum of choices to cater to specific needs and requirements. Rare-earth elements doped Sr4Al2O7 (also Sr3Al2O6) hold significant promise for various medical applications owing to their unique magnetic and luminescent properties (Figure 1C). Some key potential applications include: (1) Rare-earth doped insulators function as fluorescent biomarkers for cellular and molecular imaging applications.7 The luminescent properties of rare-earth ions, such as europium (Eu) and terbium (Tb), facilitate multiplexed imaging, deep-tissue imaging, and single-molecule tracking of biological processes and biomolecules in living cells and tissues. (2) Rare-earth doped insulators act as carriers for drug delivery systems in medicine.8 Utilizing the luminescent properties of rare-earth ions enables real-time monitoring of drug release and distribution in biological tissues and organs. (3) Rare-earth doped insulators find applications in biosensors for detecting and quantifying biomolecules, pathogens, and environmental pollutants.9 Functionalization of rare-earth-doped nanoparticles with recognition elements, such as antibodies or aptamers, enables selective binding to specific biomarkers or pathogens for biosensing applications. (4) Rare-earth doped insulators serve as photosensitizers in photodynamic therapy for cancer treatment.10 The luminescent properties of rare-earth ions enable the generation of reactive oxygen species upon light irradiation, leading to the selective destruction of cancer cells while minimizing damage to healthy tissues. Given its robust thermal and structural stability, doped Sr4Al2O7 holds promise for achieving stable crystal structures and spatial arrangements of doped rare-earth elements through chemical doping on the Sr-site. With the participation of rare-earth element ions, properties such as luminescence and magnetism are anticipated to manifest. Consequently, this development will introduce novel candidates for rare earth element-doped oxide materials with potential applications in medicine. The successful identification and synthesis of Sr4Al2O7 as an effective sacrificial layer is poised to unlock a new realm of functional oxide materials research. With its stable insulator and sacrificial-layer nature, Sr4Al2O7 holds significant promise in the synthesis of low-dimensional oxide compounds, such as membranes and nanoparticles, thereby possibly contributing to disease diagnosis, treatment, and biomedical research. Furthermore, the potential applications of rare-earth element doped Sr4Al2O7 warrant exploration, including its utilization in phosphors, bioimaging, fluorescent biomarkers, and drug delivery systems. Further research endeavours aim to unravel the full spectrum of applications and optimize the performance of Sr4Al2O7-based oxides for medical applications across diverse fields. All authors have contributed to writing the paper, creating visualizations, and have read and approved the final manuscript. We acknowledge the support of the National Natural Science Foundation of China (Grant no. 12247103) and the Shaanxi Fundamental Science Research Project for Mathematics and Physics (Grant No. 22JSZ005). Not Applicable.",7177,TRUE,jsonl
10.1002/eap.3025,"Fire is a powerful tool for conservation management at a landscape scale, but a rigorous evidence base is often lacking for understanding its impacts on biodiversity in different biomes. Fire-induced changes to habitat openness have been identified as an underlying driver of responses of faunal communities, including for ants. However, most studies of the impacts of fire on ant communities consider only epigeic (foraging on the soil surface) species, which may not reflect the responses of species inhabiting other vertical strata. Here, we examine how the responses of ant communities vary among vertical strata in a highly fire-prone biome. We use a long-term field experiment to quantify the effects of fire on the abundance, richness, and composition of ant assemblages of four vertical strata (subterranean, leaf litter, epigeic, and arboreal) in an Australian tropical savanna. We first document the extent to which each stratum harbors distinct assemblages. We then assess how the assemblage of each stratum responds to three fire-related predictors: fire frequency, fire activity, and vegetation cover. Each stratum harbored a distinct ant assemblage and showed different responses to fire. Leaf litter and epigeic ants were most sensitive to fire because it directly affects their microhabitats, but they showed contrasting negative and positive responses, respectively. Subterranean ants were the least sensitive because of the insulating effects of soil. Our results show that co-occurring species of the same taxonomic group differ in the strength and direction of their response to fire depending on the stratum they inhabit. As such, effective fire management for biodiversity conservation should consider species in all vertical strata.",1755,TRUE,jsonl
10.1002/eat.24166,Higher levels of self-criticism are linked with higher levels of DE and lower self-compassion. Self-compassion interventions could be more effective and efficient in reducing ED symptoms if self-criticism is tackled early in such treatments.,241,TRUE,jsonl
10.1002/ece3.71815,"Bycatch (e.g., the accidental capture of non-targeted species by fisheries) is a leading cause of human-induced mortality, contributing to significant population declines worldwide. Often stemming from the overlap between food resources and fishery target species, dietary analysis is key to understanding bycatch patterns. In the Bay of Biscay, common dolphin (<i>Delphinus delphis</i>) bycatch has strongly increased since 2016. Addressing the potential trophic relationship between dolphins and fisheries is essential for developing effective conservation strategies to ensure the sustainability of both dolphin populations and fisheries. Using stomach content analysis, we investigated temporal changes in the occurrence, abundance, and importance by mass of prey between 1999 and 2019. We found no difference in overall diet over time, still composed of pelagic energy-rich prey (pilchards <i>Sardina pilchardus</i>; horse mackerel <i>Trachurus</i> spp. and anchovy <i>Engraulis encrasicolus</i>). However, we observed a significant decrease in the importance by mass of horse mackerel (<i>t</i> = 2.8365, <i>p</i> < 0.01) and an increase in anchovy (<i>t</i> = -4.2636, <i>p</i> < 0.01), as well as a decrease in the average size of major species, mainly related to environmental variations in abundance and size distribution of the small pelagic fish. We also identified a shift in minor species from upper slope habitats (e.g., blue whiting <i>Micromesistius poutassou</i>) to species inhabiting coastal waters (e.g., sprat <i>Sprattus sprattus</i>), reflecting changes in the distribution of common dolphins within the Bay of Biscay. Finally, we highlighted the consistency over time in the prevalence of fresh pilchards and anchovies in the dolphin stomachs, suggesting they are more likely to feed specifically on these species when bycatch occurs. The risk of bycatch may therefore be increased by dolphins targeting pilchards and anchovies in more coastal waters.",1976,TRUE,jsonl
